Rank,Name,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
261,Halo 5: Guardians,Shooter,2.64,1.2,0.03,0.39,4.26
262,Super Mario 3D World,Platform,2.11,1.11,0.72,0.3,4.25
263,Batman: Arkham Asylum,Action,2.23,1.34,0.07,0.61,4.25
264,Assassin's Creed: Revelations,Action,1.41,2.02,0.1,0.72,4.24
265,Namco Museum,Misc,3,1.11,0.05,0.07,4.24
266,Metal Gear Solid 3: Snake Eater,Action,1.46,0,0.83,1.93,4.23
267,Daxter,Platform,2.45,1.02,0,0.75,4.22
268,Warcraft II: Tides of Darkness,Strategy,1.7,2.27,0,0.23,4.21
269,The Legend of Zelda: Ocarina of Time,Action,2.03,1.27,0.62,0.3,4.21
270,FIFA Soccer 06,Sports,0.78,2.55,0.04,0.84,4.21
271,EyeToy Play,Misc,0.88,2.3,0.2,0.83,4.2
272,Uncharted 4: A Thief's End,Shooter,1.3,2.07,0.18,0.65,4.2
273,Gran Turismo 5 Prologue,Racing,1.28,1.83,0.57,0.53,4.2
274,Assassin's Creed: Revelations,Action,2.25,1.47,0.04,0.43,4.19
275,Street Fighter IV,Fighting,2.02,1.06,0.58,0.53,4.19
276,FIFA 12,Sports,0.84,2.79,0.02,0.53,4.19
277,Teenage Mutant Ninja Turtles,Action,3.38,0.44,0.31,0.04,4.17
278,Excitebike,Racing,2.04,0.48,1.57,0.07,4.16
279,Frogger,Action,3.79,0.27,0,0.11,4.16
280,Madden NFL 2003,Sports,3.36,0.21,0.01,0.56,4.14
281,Watch Dogs,Action,1.4,1.86,0.11,0.77,4.14
282,Half-Life,Shooter,4.03,0,0.09,0,4.12
283,Super Mario World 2: Yoshi's Island,Platform,1.65,0.61,1.76,0.09,4.12
284,FIFA Soccer 07,Sports,0.71,2.48,0.03,0.89,4.11
285,The Legend of Zelda: Skyward Sword,Action,2.14,1.2,0.37,0.4,4.1
286,Street Fighter II Turbo,Fighting,1.42,0.51,2.1,0.07,4.1
287,Carnival Games,Misc,2.13,1.5,0.05,0.42,4.1
288,Fallout 4,Role-Playing,2.45,1.26,0.01,0.37,4.09
289,World of Warcraft: The Burning Crusade,Role-Playing,2.57,1.52,0,0,4.09
290,Fallout: New Vegas,Role-Playing,2.65,1.06,0.04,0.33,4.08
291,God of War II,Action,2.32,0.04,0.04,1.67,4.07
292,Forza Motorsport 2,Racing,2.35,1.28,0.03,0.41,4.06
293,World Soccer Winning Eleven 9,Sports,0.12,2.26,0.9,0.77,4.06
294,Namco Museum Vol.3,Misc,2.28,1.55,0.16,0.06,4.05
295,Tekken Tag Tournament,Fighting,1.68,1.51,0.51,0.35,4.05
296,Far Cry 4,Shooter,1.12,2.12,0.1,0.69,4.03
297,Star Fox 64,Shooter,2.78,0.58,0.64,0.04,4.03
298,Minecraft,Misc,1.38,1.87,0.12,0.65,4.02
299,Golf,Sports,1.22,0.28,2.46,0.04,4.01
300,Fallout 3,Role-Playing,2.15,1.2,0.07,0.59,4.01
301,Professor Layton and the Diabolical Box,Puzzle,0.92,1.78,0.92,0.37,4
302,Left 4 Dead 2,Shooter,2.67,0.89,0.05,0.37,3.99
